textID,word
201903209d1c421954fd410090000001,climate
201903209d1c421954fd410090000001,change
201903209d1c421954fd410090000002,the
201903209d1c421954fd410090000002,hon
201903209d1c421954fd410090000003,leave
201903209d1c421954fd410090000003,granted
201903209d1c421954fd410090000004,the
201903209d1c421954fd410090000005,one
201903209d1c421954fd410090000005,of
201903209d1c421954fd410090000005,key
201903209d1c421954fd410090000005,messages
201903209d1c421954fd410090000005,from
201903209d1c421954fd410090000005,students
201903209d1c421954fd410090000005,was
201903209d1c421954fd410090000005,that
201903209d1c421954fd410090000005,a
201903209d1c421954fd410090000005,very
201903209d1c421954fd410090000005,real
201903209d1c421954fd410090000005,threat
201903209d1c421954fd410090000005,to
201903209d1c421954fd410090000005,health
201903209d1c421954fd410090000005,both
201903209d1c421954fd410090000005,public
201903209d1c421954fd410090000005,and
201903209d1c421954fd410090000005,private
201903209d1c421954fd410090000006,health
201903209d1c421954fd410090000006,professionals
201903209d1c421954fd410090000006,know
201903209d1c421954fd410090000006,is
201903209d1c421954fd410090000006,greatest
201903209d1c421954fd410090000006,this
201903209d1c421954fd410090000006,century
201903209d1c421954fd410090000007,climate
201903209d1c421954fd410090000007,will
201903209d1c421954fd410090000007,have
201903209d1c421954fd410090000007,serious
201903209d1c421954fd410090000007,consequences
201903209d1c421954fd410090000007,for
201903209d1c421954fd410090000007,our
201903209d1c421954fd410090000007,system
201903209d1c421954fd410090000008,workers
201903209d1c421954fd410090000008,only
201903209d1c421954fd410090000008,strike
201903209d1c421954fd410090000008,as
201903209d1c421954fd410090000008,last
201903209d1c421954fd410090000008,option
201903209d1c421954fd410090000008,get
201903209d1c421954fd410090000008,attention
201903209d1c421954fd410090000008,their
201903209d1c421954fd410090000008,bosses
201903209d1c421954fd410090000008,fair
201903209d1c421954fd410090000008,pay
201903209d1c421954fd410090000008,or
201903209d1c421954fd410090000008,safe
201903209d1c421954fd410090000008,workplace
201903209d1c421954fd410090000009,you
201903209d1c421954fd410090000009,are
201903209d1c421954fd410090000009,future
201903209d1c421954fd410090000009,dont
201903209d1c421954fd410090000009,stop
201903209d1c421954fd410090000009,standing
201903209d1c421954fd410090000009,up
201903209d1c421954fd410090000009,what
201903209d1c421954fd410090000009,believe
201903209d1c421954fd410090000009,in
201903209d1c421954fd410090000010,my
201903209d1c421954fd410090000010,questions
201903209d1c421954fd410090000010,minister
201903209d1c421954fd410090000011,1x9as
201903209d1c421954fd410090000011,wellbeing
201903209d1c421954fd410090000011,do
201903209d1c421954fd410090000011,agree
201903209d1c421954fd410090000011,with
201903209d1c421954fd410090000011,striking
201903209d1c421954fd410090000011,hsu
201903209d1c421954fd410090000012,2x9what
201903209d1c421954fd410090000012,actions
201903209d1c421954fd410090000012,your
201903209d1c421954fd410090000012,department
201903209d1c421954fd410090000012,taking
201903209d1c421954fd410090000012,prevent
201903209d1c421954fd410090000012,getting
201903209d1c421954fd410090000012,worse
201903209d1c421954fd410090000012,further
201903209d1c421954fd410090000012,harming
201903209d1c421954fd410090000012,south
201903209d1c421954fd410090000012,australians
201903209d1c421954fd410090000013,the
201903209d1c421954fd410090000013,president
201903209d1c421954fd410090000014,members
201903209d1c421954fd410090000014,interjecting
201903209d1c421954fd410090000015,the
201903209d1c421954fd410090000016,members
201903209d1c421954fd410090000017,the
201903209d1c421954fd410090000017,i
201903209d1c421954fd410090000017,hope
201903209d1c421954fd410090000017,all
201903209d1c421954fd410090000017,into
201903209d1c421954fd410090000017,hansard
201903209d1c421954fd410090000017,two
201903209d1c421954fd410090000017,because
201903209d1c421954fd410090000017,australian
201903209d1c421954fd410090000017,would
201903209d1c421954fd410090000017,like
201903209d1c421954fd410090000017,hear
201903209d1c421954fd410090000017,person
201903209d1c421954fd410090000017,who
201903209d1c421954fd410090000017,asked
201903209d1c421954fd410090000017,question
201903209d1c421954fd410090000018,the
201903209d1c421954fd410090000019,what
201903209d1c421954fd410090000019,am
201903209d1c421954fd410090000019,told
201903209d1c421954fd410090000019,by
201903209d1c421954fd410090000019,clinicians
201903209d1c421954fd410090000019,it
201903209d1c421954fd410090000019,often
201903209d1c421954fd410090000019,aggravation
201903209d1c421954fd410090000019,underlying
201903209d1c421954fd410090000019,complex
201903209d1c421954fd410090000019,chronic
201903209d1c421954fd410090000019,conditions
201903209d1c421954fd410090000019,particularly
201903209d1c421954fd410090000019,TRUE
201903209d1c421954fd410090000019,elderly
201903209d1c421954fd410090000019,people
201903209d1c421954fd410090000020,i
201903209d1c421954fd410090000020,think
201903209d1c421954fd410090000020,things
201903209d1c421954fd410090000020,sa
201903209d1c421954fd410090000020,be
201903209d1c421954fd410090000020,doing
201903209d1c421954fd410090000020,result
201903209d1c421954fd410090000020,significant
201903209d1c421954fd410090000020,heat
201903209d1c421954fd410090000020,events
201903209d1c421954fd410090000020,we
201903209d1c421954fd410090000020,had
201903209d1c421954fd410090000020,year
201903209d1c421954fd410090000020,look
201903209d1c421954fd410090000020,at
201903209d1c421954fd410090000020,shall
201903209d1c421954fd410090000020,say
201903209d1c421954fd410090000020,days
201903209d1c421954fd410090000020,after
201903209d1c421954fd410090000020,event
201903209d1c421954fd410090000021,i
201903209d1c421954fd410090000021,no
201903209d1c421954fd410090000021,doubt
201903209d1c421954fd410090000021,need
201903209d1c421954fd410090000021,planning
201903209d1c421954fd410090000021,make
201903209d1c421954fd410090000021,sure
201903209d1c421954fd410090000021,hospitals
201903209d1c421954fd410090000021,cope
201903209d1c421954fd410090000021,external
201903209d1c421954fd410090000021,factors
201903209d1c421954fd410090000021,impact
201903209d1c421954fd410090000021,on
201903209d1c421954fd410090000021,them
201903209d1c421954fd410090000021,includes
201903209d1c421954fd410090000021,extreme
201903209d1c421954fd410090000021,may
201903209d1c421954fd410090000021,arise
201903209d1c421954fd410090000021,through
201903209d1c421954fd410090000022,the
201903209d1c421954fd410090000022,supplementary
201810232ce45d606dcb44eba0000001,ministerial
201810232ce45d606dcb44eba0000001,responsibility
201810232ce45d606dcb44eba0000002,the
201810232ce45d606dcb44eba0000003,the
201810232ce45d606dcb44eba0000004,i
201810232ce45d606dcb44eba0000004,presume
201810232ce45d606dcb44eba0000004,diligent
201810232ce45d606dcb44eba0000004,honourable
201810232ce45d606dcb44eba0000004,member
201810232ce45d606dcb44eba0000004,referring
201810232ce45d606dcb44eba0000004,malinauskas
201810232ce45d606dcb44eba0000004,been
201810232ce45d606dcb44eba0000004,briefed
201810232ce45d606dcb44eba0000004,february
201810232ce45d606dcb44eba0000004,march
201810232ce45d606dcb44eba0000004,certainly
201810232ce45d606dcb44eba0000004,being
201810232ce45d606dcb44eba0000004,discussed
201810232ce45d606dcb44eba0000004,government
201810232ce45d606dcb44eba0000004,those
201810232ce45d606dcb44eba0000004,months
20171115b12931c8489a422ea0000001,principal
20171115b12931c8489a422ea0000001,community
20171115b12931c8489a422ea0000001,visitor
20171115b12931c8489a422ea0000002,mr
20171115b12931c8489a422ea0000002,duluk
20171115b12931c8489a422ea0000002,davenport
20171115b12931c8489a422ea0000002,1436
20171115b12931c8489a422ea0000002,why
20171115b12931c8489a422ea0000002,has
20171115b12931c8489a422ea0000002,taken
20171115b12931c8489a422ea0000002,almost
20171115b12931c8489a422ea0000002,table
20171115b12931c8489a422ea0000002,report
20171115b12931c8489a422ea0000002,which
20171115b12931c8489a422ea0000002,meant
20171115b12931c8489a422ea0000002,tabled
20171115b12931c8489a422ea0000002,sitting
20171115b12931c8489a422ea0000002,parliament
20171115b12931c8489a422ea0000003,the
20170927c571e8f0e8ec445490000001,land
20170927c571e8f0e8ec445490000001,services
20170927c571e8f0e8ec445490000002,ms
20170927c571e8f0e8ec445490000002,chapman
20170927c571e8f0e8ec445490000002,bragg—deputy
20170927c571e8f0e8ec445490000002,leader
20170927c571e8f0e8ec445490000002,opposition
20170927c571e8f0e8ec445490000002,1504
20170927c571e8f0e8ec445490000002,just
20170927c571e8f0e8ec445490000002,absolutely
20170927c571e8f0e8ec445490000002,clear
20170927c571e8f0e8ec445490000002,treasurer
20170927c571e8f0e8ec445490000002,documents
20170927c571e8f0e8ec445490000002,made
20170927c571e8f0e8ec445490000002,respect
20170927c571e8f0e8ec445490000002,features
20170927c571e8f0e8ec445490000002,contract
20170927c571e8f0e8ec445490000002,other
20170927c571e8f0e8ec445490000002,than
20170927c571e8f0e8ec445490000002,statements
20170927c571e8f0e8ec445490000002,material
20170927c571e8f0e8ec445490000002,published
20170927c571e8f0e8ec445490000002,authored
20170927c571e8f0e8ec445490000002,not
20170927c571e8f0e8ec445490000002,parts
20170927c571e8f0e8ec445490000003,the
20170927c571e8f0e8ec445490000003,speaker
20170927c571e8f0e8ec445490000003,course
20170927c571e8f0e8ec445490000003,expressed
20170927c571e8f0e8ec445490000003,an
20170927c571e8f0e8ec445490000003,entirely
20170927c571e8f0e8ec445490000003,out
20170927c571e8f0e8ec445490000003,order
20170927c571e8f0e8ec445490000003,way
20170927c571e8f0e8ec445490000003,but
20170927c571e8f0e8ec445490000003,let
20170927c571e8f0e8ec445490000003,go
20170927c571e8f0e8ec445490000004,the
20170927c571e8f0e8ec445490000005,ms
20170927c571e8f0e8ec445490000005,im
20170927c571e8f0e8ec445490000005,asking
20170927c571e8f0e8ec445490000005,simple
20170927c571e8f0e8ec445490000006,the
20170927c571e8f0e8ec445490000007,ms
20170927c571e8f0e8ec445490000007,show
20170927c571e8f0e8ec445490000007,us
20170927c571e8f0e8ec445490000007,document
20170927c571e8f0e8ec445490000008,the
20170927c571e8f0e8ec445490000009,members
20170927c571e8f0e8ec445490000010,mr
20170927c571e8f0e8ec445490000010,gardner
20170927c571e8f0e8ec445490000010,point
20170927c571e8f0e8ec445490000010,sir
20170927c571e8f0e8ec445490000011,the
20170927c571e8f0e8ec445490000012,mr
20170927c571e8f0e8ec445490000012,breach
20170927c571e8f0e8ec445490000012,98
20170927c571e8f0e8ec445490000013,the
20170927c571e8f0e8ec445490000013,he
20170927c571e8f0e8ec445490000014,the
20170927c571e8f0e8ec445490000015,the
20170927c571e8f0e8ec445490000015,orders
20170927c571e8f0e8ec445490000015,want
20170927c571e8f0e8ec445490000015,respond
20170927c571e8f0e8ec445490000015,interjections
20170927c571e8f0e8ec445490000016,the
20170927c571e8f0e8ec445490000017,mr
20170927c571e8f0e8ec445490000017,van
20170927c571e8f0e8ec445490000017,holst
20170927c571e8f0e8ec445490000017,pellekaan
20170927c571e8f0e8ec445490000018,the
20170927c571e8f0e8ec445490000019,mr
20170927c571e8f0e8ec445490000019,strayed
20170927c571e8f0e8ec445490000019,again
20170927c571e8f0e8ec445490000019,matter
20170927c571e8f0e8ec445490000019,hand
20170927c571e8f0e8ec445490000020,the
20170927c571e8f0e8ec445490000020,uphold
20170927c571e8f0e8ec445490000021,mr
20170927c571e8f0e8ec445490000022,the
20170927c571e8f0e8ec445490000022,thats
20170927c571e8f0e8ec445490000022,quite
20170927c571e8f0e8ec445490000022,okay
20181113a70216976c1f47ce90000001,health
20181113a70216976c1f47ce90000001,complaints
20181113a70216976c1f47ce90000001,miscellaneous
20181113a70216976c1f47ce90000001,amendment
20181113a70216976c1f47ce90000001,bill
20181113a70216976c1f47ce90000002,introduction
20181113a70216976c1f47ce90000002,first
20181113a70216976c1f47ce90000002,reading
20181113a70216976c1f47ce90000003,received
20181113a70216976c1f47ce90000003,legislative
20181113a70216976c1f47ce90000003,council
20181113a70216976c1f47ce90000003,read
20181113a70216976c1f47ce90000003,time
20180705491b66eaadea4eb6b0000001,police
20180705491b66eaadea4eb6b0000001,station
20180705491b66eaadea4eb6b0000001,opening
20180705491b66eaadea4eb6b0000001,hours
20180705491b66eaadea4eb6b0000002,mr
20180705491b66eaadea4eb6b0000002,croydon—leader
20180705491b66eaadea4eb6b0000002,1507
20180705491b66eaadea4eb6b0000003,the
20180705491b66eaadea4eb6b0000004,as
20180705491b66eaadea4eb6b0000004,today
20180705491b66eaadea4eb6b0000004,district
20180705491b66eaadea4eb6b0000004,model
20180705491b66eaadea4eb6b0000004,rolls
20180705491b66eaadea4eb6b0000005,as
20180705491b66eaadea4eb6b0000005,said
20180705491b66eaadea4eb6b0000005,house
20180705491b66eaadea4eb6b0000005,hundred
